Field,LongName,Description,Missing_Value_Count
DD_SRAM_LATracts10,"Driving Distance, SNAP-authorized Retailer Access Map, Low access tract at 10 miles","Flag for low access tract when considering 10 mile distance, calculated using driving (network-based) distance",0
DD_SRAM_LATracts20,"Driving Distance, SNAP-authorized Retailer Access Map, Low access tract at 20 miles","Flag for low access tract when considering 20 mile distance, calculated using driving (network-based) distance",0
DD_SRAM_LATractsVehicle_20,"Driving Distance, SNAP-authorized Retailer Access Map, Low access tract using vehicle access and at 20 miles  in rural areas","Flag for tract where >= 100 of households do not have a vehicle, and beyond 1/2 mile from SNAP-authorized foodstore; or >= 500 individuals are beyond 20 miles from SNAP-authorized foodstore ; or >= 33% of individuals are beyond 20 miles from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_LAPOP1_10,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, population at 1 mile for urban areas and 10 miles for rural areas, number","Population count beyond 1 mile for urban areas or 10 miles for rural areas from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_LAPOP05_10,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, population at 1/2 mile for urban areas and 10 miles for rural areas, number","Population count beyond 1/2 mile for urban areas or 10 miles for rural areas from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_LAPOP1_20,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, population at 1 mile for urban areas and 20 miles for rural areas, number","Population count beyond 1 mile for urban areas or 20 miles for rural areas from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_LALOWI1_10,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, low-income population at 1 mile for urban areas and 10 miles for rural areas, number","Low income population count beyond 1 mile for urban areas or 10 miles for rural areas from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_LALOWI05_10,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, low-income population at 1/2 mile for urban areas and 10 miles for rural areas, number","Low income population count beyond 1/2 mile for urban areas or 10 miles for rural areas from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_LALOWI1_20,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, low-income population at 1 mile for urban areas and 20 miles for rural areas, number","Low income population count beyond 1 mile for urban areas or 20 miles for rural areas from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lapophalf,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, population at 1/2 mile, number","Population count beyond 1/2 mile from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lapophalfshare,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, population at 1/2 mile, share","Share of tract population that are beyond 1/2 mile from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lalowihalf,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, low-income population at 1/2 mile, number","Low income population count beyond 1/2 mile from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lalowihalfshare,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, low-income population at 1/2 mile, share","Share of tract population that are low income individuals beyond 1/2 mile from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lakidshalf,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, children age 0-17 at 1/2 mile, number","Kids population count beyond 1/2 mile from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lakidshalfshare,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, children age 0-17 at 1/2 mile, share","Share of tract population that are kids beyond 1/2 mile from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_laseniorshalf,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, seniors age 65+ at 1/2 mile, number","Seniors population count beyond 1/2 mile from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_laseniorshalfshare,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, seniors age 65+ at 1/2 mile, share","Share of tract population that are seniors beyond 1/2 mile from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lawhitehalf,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, White population at 1/2 mile, number","White population count beyond 1/2 mile from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lawhitehalfshare,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, White population at 1/2 mile, share","Share of tract population that are white beyond 1/2 mile from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lablackhalf,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, Black or African American population at 1/2 mile, number","Black or African American population count beyond 1/2 mile from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lablackhalfshare,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, Black or African American population at 1/2 mile, share","Share of tract population that are Black or African American beyond 1/2 mile from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_laasianhalf,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, Asian population at 1/2 mile, number","Asian population count beyond 1/2 mile from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_laasianhalfshare,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, Asian population at 1/2 mile, share","Share of tract population that are Asian beyond 1/2 mile from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lanhopihalf,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, Native Hawaiian or Other Pacific Islander population at 1/2 mile, number","Native Hawaiian or Other Pacific Islander population count beyond 1/2 mile from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lanhopihalfshare,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, Native Hawaiian or Other Pacific Islander population at 1/2 mile, share","Share of tract population that are Native Hawaiian or Other Pacific Islander beyond 1/2 mile from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_laaianhalf,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, American Indian or Alaska Native population at 1/2 mile, number","American Indian or Alaska Native population count beyond 1/2 mile from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_laaianhalfshare,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, American Indian or Alaska Native population at 1/2 mile, share","Share of tract population that are American Indian or Alaska Native beyond 1/2 mile from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_laomultirhalf,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, Other/Multiple race population at 1/2 mile, number","Other/Multiple race population count beyond 1/2 mile from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_laomultirhalfshare,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, Other/Multiple race population at 1/2 mile, share","Share of tract population that are Other/Multiple race beyond 1/2 mile from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lahisphalf,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, Hispanic or Latino population at 1/2 mile, number","Hispanic or Latino ethnicity population count beyond 1/2 mile from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lahisphalfshare,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, Hispanic or Latino population at 1/2 mile, share","Share of tract population that are of Hispanic or Latino ethnicity beyond 1/2 mile from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lahunvhalf,"Driving Distance, SNAP-authorized Retailer Access Map, Vehicle access, housing units without and low access at 1/2 mile, number","Housing units without vehicle count beyond 1/2 mile from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lahunvhalfshare,"Driving Distance, SNAP-authorized Retailer Access Map, Vehicle access, housing units without and low access at 1/2 mile, share","Share of tract housing units that are without vehicle and beyond 1/2 mile from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lasnaphalf,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, housing units receiving SNAP benefits at 1/2 mile, number","Housing units receiving SNAP benefits count beyond 1/2 mile from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lasnaphalfshare,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, housing units receiving SNAP benefits at 1/2 mile, share","Share of tract housing units receiving SNAP benefits count beyond 1/2 mile from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_laveteranhalf,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, veterans of the U.S. Armed Forces at 1/2 mile, number","Veterans of the U.S. Armed Forces count beyond 1/2 mile from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_laveteranhalfshare,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, veterans of the U.S. Armed Forces at 1/2 mile, share","Share of tract veterans of the U.S. Armed Forces count beyond 1/2 mile from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lapop1,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, population at 1 mile, number","Population count beyond 1 mile from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lapop1share,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, population at 1 mile, share","Share of tract population that are beyond 1 mile from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lalowi1,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, low-income population at 1 mile, number","Low income population count beyond 1 mile from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lalowi1share,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, low-income population at 1 mile, share","Share of tract population that are low income individuals beyond 1 mile from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lakids1,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, children age 0-17 at 1 mile, number","Kids population count beyond 1 mile from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lakids1share,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, children age 0-17 at 1 mile, share","Share of tract population that are kids beyond 1 mile from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_laseniors1,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, seniors age 65+ at 1 mile, number","Seniors population count beyond 1 mile from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_laseniors1share,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, seniors age 65+ at 1 mile, share","Share of tract population that are seniors beyond 1 mile from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lawhite1,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, White population at 1 mile, number","White population count beyond 1 mile from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lawhite1share,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, White population at 1 mile, share","Share of tract population that are white beyond 1 mile from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lablack1,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, Black or African American population at 1 mile, number","Black or African American population count beyond 1 mile from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lablack1share,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, Black or African American population at 1 mile, share","Share of tract population that are Black or African American beyond 1 mile from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_laasian1,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, Asian population at 1 mile, number","Asian population count beyond 1 mile from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_laasian1share,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, Asian population at 1 mile, share","Share of tract population that are Asian beyond 1 mile from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lanhopi1,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, Native Hawaiian and Other Pacific Islander population at 1 mile, number","Native Hawaiian or Other Pacific Islander population count beyond 1 mile from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lanhopi1share,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, Native Hawaiian and Other Pacific Islander population at 1 mile, share","Share of tract population that are Native Hawaiian or Other Pacific Islander beyond 1 mile from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_laaian1,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, American Indian and Alaska Native population at 1 mile, number","American Indian or Alaska Native population count beyond 1 mile from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_laaian1share,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, American Indian and Alaska Native population at 1 mile, share","Share of tract population that are American Indian or Alaska Native beyond 1 mile from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_laomultir1,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, Other/Multiple race population at 1 mile, number","Other/Multiple race population count beyond 1 mile from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_laomultir1share,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, Other/Multiple race population at 1 mile, share","Share of tract population that are Other/Multiple race beyond 1 mile from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lahisp1,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, Hispanic or Latino population at 1 mile, number","Hispanic or Latino ethnicity population count beyond 1 mile from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lahisp1share,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, Hispanic or Latino population at 1 mile, share","Share of tract population that are of Hispanic or Latino ethnicity beyond 1 mile from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lahunv1,"Driving Distance, SNAP-authorized Retailer Access Map, Vehicle access, housing units without and low access at 1 mile, number","Housing units without vehicle count beyond 1 mile from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lahunv1share,"Driving Distance, SNAP-authorized Retailer Access Map, Vehicle access, housing units without and low access at 1 mile, share","Share of tract housing units that are without vehicle and beyond 1 mile from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lasnap1,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, housing units receiving SNAP benefits at 1 mile, number","Housing units receiving SNAP benefits count beyond 1 mile from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lasnap1share,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, housing units receiving SNAP benefits at 1 mile, share","Share of tract housing units receiving SNAP benefits count beyond 1 mile from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_laveteran1,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, veterans of the U.S. Armed Forces at 1 mile, number","Veterans of the U.S. Armed Forces count beyond 1 mile from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_laveteran1share,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, veterans of the U.S. Armed Forces at 1 mile, share","Share of tract veterans of the U.S. Armed Forces count beyond 1 mile from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lapop10,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, population at 10 miles, number","Population count beyond 10 miles from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lapop10share,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, population at 10 miles, share","Share of tract population that are beyond 10 miles from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lalowi10,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, low-income population at 10 miles, number","Low income population count beyond 10 miles from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lalowi10share,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, low-income population at 10 miles, share","Share of tract population that are low income individuals beyond 10 miles from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lakids10,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, children age 0-17 at 10 miles, number","Kids population count beyond 10 miles from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lakids10share,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, children age 0-17 at 10 miles, share","Share of tract population that are kids beyond 10 miles from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_laseniors10,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, seniors age 65+ at 10 miles, number","Seniors population count beyond 10 miles from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_laseniors10share,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, seniors age 65+ at 10 miles, share","Share of tract population that are seniors beyond 10 miles from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lawhite10,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, White population at 10 miles, number","White population count beyond 10 miles from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lawhite10share,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, White population at 10 miles, share","Share of tract population that are white beyond 10 miles from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lablack10,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, Black or African American population at 10 miles, number","Black or African American population count beyond 10 miles from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lablack10share,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, Black or African American population at 10 miles, share","Share of tract population that are Black or African American beyond 10 miles from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_laasian10,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, Asian population at 10 miles, number","Asian population count beyond 10 miles from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_laasian10share,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, Asian population at 10 miles, share","Share of tract population that are Asian beyond 10 miles from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lanhopi10,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, Native Hawaiian and Other Pacific Islander population at 10 miles, number","Native Hawaiian or Other Pacific Islander population count beyond 10 miles from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lanhopi10share,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, Native Hawaiian and Other Pacific Islander population at 10 miles, share","Share of tract population that are Native Hawaiian or Other Pacific Islander beyond 10 miles from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_laaian10,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, American Indian and Alaska Native population at 10 miles, number","American Indian or Alaska Native population count beyond 10 miles from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_laaian10share,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, American Indian and Alaska Native population at 10 miles, share","Share of tract population that are American Indian or Alaska Native beyond 10 miles from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_laomultir10,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, Other/Multiple race population at 10 miles, number","Other/Multiple race population count beyond 10 miles from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_laomultir10share,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, Other/Multiple race population at 10 miles, share","Share of tract population that are Other/Multiple race beyond 10 miles from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lahisp10,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, Hispanic or Latino population at 10 miles, number","Hispanic or Latino ethnicity population count beyond 10 miles from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lahisp10share,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, Hispanic or Latino population at 10 miles, share","Share of tract population that are of Hispanic or Latino ethnicity beyond 10 miles from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lahunv10,"Driving Distance, SNAP-authorized Retailer Access Map, Vehicle access, housing units without and low access at 10 miles, number","Housing units without vehicle count beyond 10 miles from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lahunv10share,"Driving Distance, SNAP-authorized Retailer Access Map, Vehicle access, housing units without and low access at 10 miles, share","Share of tract housing units that are without vehicle and beyond 10 miles from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lasnap10,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, housing units receiving SNAP benefits at 10 miles, number","Housing units receiving SNAP benefits count beyond 10 miles from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lasnap10share,"Driving Distance, SNAP-authorized Retailer Access Map, Low access,housing units receiving SNAP benefits at 10 miles, share","Share of tract housing units receiving SNAP benefits count beyond 10 miles from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_laveteran10,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, veterans of the U.S. Armed Forces at 10 miles, number","Veterans of the U.S. Armed Forces count beyond 10 miles from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_laveteran10share,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, veterans of the U.S. Armed Forces at 10 miles, share","Share of tract veterans of the U.S. Armed Forces count beyond 10 miles from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lapop20,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, population at 20 miles, number","Population count beyond 20 miles from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lapop20share,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, population at 20 miles, share","Share of tract population that are beyond 20 miles from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lalowi20,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, low-income population at 20 miles, number","Low income population count beyond 20 miles from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lalowi20share,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, low-income population at 20 miles, share","Share of tract population that are low income individuals beyond 20 miles from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lakids20,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, children age 0-17 at 20 miles, number","Kids population count beyond 20 miles from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lakids20share,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, children age 0-17 at 20 miles, share","Share of tract population that are kids beyond 20 miles from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_laseniors20,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, seniors age 65+ at 20 miles, number","Seniors population count beyond 20 miles from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_laseniors20share,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, seniors age 65+ at 20 miles, share","Share of tract population that are seniors beyond 20 miles from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lawhite20,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, White population at 20 miles, number","White population count beyond 20 miles from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lawhite20share,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, White population at 20 miles, share","Share of tract population that are white beyond 20 miles from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lablack20,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, Black or African American population at 20 miles, number","Black or African American population count beyond 20 miles from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lablack20share,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, Black or African American population at 20 miles, share","Share of tract population that are Black or African American beyond 20 miles from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_laasian20,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, Asian population at 20 miles, number","Asian population count beyond 20 miles from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_laasian20share,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, Asian population at 20 miles, share","Share of tract population that are Asian beyond 20 miles from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lanhopi20,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, Native Hawaiian and Other Pacific Islander population at 20 miles, number","Native Hawaiian or Other Pacific Islander population count beyond 20 miles from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_lanhopi20share,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, Native Hawaiian and Other Pacific Islander population at 20 miles, share","Share of tract population that are Native Hawaiian or Other Pacific Islander beyond 20 miles from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_laaian20,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, American Indian and Alaska Native population at 20 miles, number","American Indian or Alaska Native population count beyond 20 miles from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_laaian20share,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, American Indian and Alaska Native population at 20 miles, share","Share of tract population that are American Indian or Alaska Native beyond 20 miles from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
DD_SRAM_laomultir20,"Driving Distance, SNAP-authorized Retailer Access Map, Low access, Other/Multiple race population at 20 miles, number","Other/Multiple race population count beyond 20 miles from SNAP-authorized foodstore, calculated using driving (network-based) distance",0
