CensusTract20,State,County20,County24,Urban,POP2020,OHU2020,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LowIncomeTracts,PovertyRate,MedianFamilyIncome,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP,TractVeteran,TractTribalArea,Missing_Value_Count
1003011202,Alabama,Baldwin County,Baldwin County,1,6773,2898,0.0,348,5.14,0,8.2,109583.0,5344.0,1262,2024,5272,1064,41,10,19,367,183,104.0,94.0,592.0,0.0,0
1003011300,Alabama,Baldwin County,Baldwin County,0,5170,2101,0.0,0,0.0,0,18.6,95766.0,3457.0,941,1409,4589,192,7,2,16,364,190,38.0,14.0,261.0,0.0,0
1003011409,Alabama,Baldwin County,Baldwin County,0,5915,2276,0.0,0,0.0,0,16.3,103241.0,4428.0,1428,1058,4435,796,28,1,44,611,492,34.0,221.0,611.0,0.0,0
1003011410,Alabama,Baldwin County,Baldwin County,0,7483,3109,0.0,0,0.0,0,16.7,92955.0,5863.0,1409,1847,6325,196,34,5,63,860,634,44.0,124.0,623.0,0.0,0
1003011411,Alabama,Baldwin County,Baldwin County,0,5666,2459,0.0,0,0.0,1,15.6,66462.0,3801.0,1073,1262,4454,133,55,3,47,974,923,83.0,71.0,727.0,0.0,0
1003011412,Alabama,Baldwin County,Baldwin County,0,4041,1819,0.0,0,0.0,0,16.7,86518.0,3071.0,765,857,3406,140,30,2,26,437,248,15.0,119.0,425.0,0.0,0
1003011413,Alabama,Baldwin County,Baldwin County,1,3982,1795,0.0,33,0.83,0,3.4,101381.0,3590.0,700,1110,3505,69,65,1,10,332,164,48.0,16.0,302.0,0.0,0
1003011414,Alabama,Baldwin County,Baldwin County,1,3461,1574,0.0,16,0.46,0,2.2,127315.0,3278.0,557,925,3240,14,16,0,18,173,47,72.0,20.0,313.0,0.0,0
1003011415,Alabama,Baldwin County,Baldwin County,1,2019,961,0.0,0,0.0,0,2.0,140139.0,1712.0,170,804,1908,0,10,1,5,95,40,0.0,12.0,150.0,0.0,0
1003011416,Alabama,Baldwin County,Baldwin County,0,1714,823,0.0,0,0.0,0,11.1,117708.0,1265.0,189,567,1591,6,10,2,16,89,29,61.0,16.0,174.0,0.0,0
1003011417,Alabama,Baldwin County,Baldwin County,1,2525,1101,0.0,0,0.0,0,3.4,111619.0,2024.0,496,449,2303,27,18,0,9,168,98,20.0,35.0,157.0,0.0,0
1003011418,Alabama,Baldwin County,Baldwin County,0,1773,873,0.0,0,0.0,0,8.1,106972.0,1594.0,231,404,1603,29,9,1,12,119,48,56.0,14.0,228.0,0.0,0
1003011419,Alabama,Baldwin County,Baldwin County,1,5154,2432,0.0,0,0.0,0,12.5,78651.0,3954.0,673,1807,4647,85,46,0,21,355,154,61.0,162.0,386.0,0.0,0
1003011501,Alabama,Baldwin County,Baldwin County,1,7216,2945,0.0,264,3.66,0,16.0,79313.0,5062.0,1350,2031,5735,560,37,5,69,810,593,144.0,278.0,537.0,0.0,0
1003011503,Alabama,Baldwin County,Baldwin County,1,7482,3218,0.0,0,0.0,0,9.7,82026.0,5672.0,1575,1627,5544,926,98,3,49,862,693,145.0,165.0,540.0,0.0,0
1003011504,Alabama,Baldwin County,Baldwin County,0,6431,2713,0.0,17,0.26,0,6.1,83654.0,6458.0,1121,1922,4503,813,83,1,48,983,851,219.0,164.0,1195.0,0.0,0
1003011601,Alabama,Baldwin County,Baldwin County,0,7517,3012,0.0,22,0.29,0,14.4,103750.0,4445.0,1622,1562,6641,95,36,6,56,683,365,126.0,333.0,727.0,0.0,0
1003011603,Alabama,Baldwin County,Baldwin County,1,3298,1504,0.0,0,0.0,1,3.5,75434.0,2348.0,456,1288,2917,113,21,4,21,222,74,58.0,44.0,363.0,0.0,0
1003011604,Alabama,Baldwin County,Baldwin County,0,2853,1390,0.0,0,0.0,0,10.1,85278.0,2336.0,288,1232,2656,19,18,2,16,142,73,4.0,40.0,556.0,0.0,0
1005950100,Alabama,Barbour County,Barbour County,0,3126,1328,0.0,45,1.44,0,12.9,74554.0,1876.0,637,755,1455,1383,17,0,20,251,189,59.0,239.0,244.0,0.0,0
1005950200,Alabama,Barbour County,Barbour County,0,3363,969,0.0,1211,36.01,1,25.9,63750.0,1093.0,437,577,1120,2161,3,0,2,77,57,151.0,188.0,203.0,0.0,0
1005950300,Alabama,Barbour County,Barbour County,0,1370,621,0.0,0,0.0,0,11.9,74167.0,962.0,245,390,594,712,4,0,7,53,36,48.0,108.0,73.0,0.0,0
1005950400,Alabama,Barbour County,Barbour County,0,3998,1127,0.0,1306,32.67,1,28.6,50179.0,1124.0,553,669,1940,1524,21,1,26,486,567,110.0,199.0,221.0,0.0,0
1005950500,Alabama,Barbour County,Barbour County,0,3105,1366,0.0,0,0.0,1,21.4,69596.0,1911.0,566,769,2158,734,20,0,17,176,75,27.0,228.0,296.0,0.0,0
1005950600,Alabama,Barbour County,Barbour County,0,1858,792,0.0,0,0.0,1,28.0,65893.0,737.0,442,331,963,775,18,0,8,94,82,108.0,179.0,56.0,0.0,0
1005950700,Alabama,Barbour County,Barbour County,0,1590,616,0.0,155,9.75,1,23.8,56875.0,790.0,372,409,642,870,0,0,4,74,105,75.0,184.0,64.0,0.0,0
1005950800,Alabama,Barbour County,Barbour County,1,2175,953,0.0,0,0.0,1,21.6,42756.0,996.0,498,484,1019,1042,10,0,2,102,51,73.0,94.0,130.0,0.0,0
1005950900,Alabama,Barbour County,Barbour County,1,4638,1905,0.0,0,0.0,1,20.6,62188.0,1847.0,1339,719,1426,2732,24,0,30,426,348,307.0,524.0,126.0,0.0,0
1007010001,Alabama,Bibb County,Bibb County,0,2634,1022,0.0,9,0.34,0,17.1,74063.0,1628.0,608,461,2209,232,4,4,4,181,113,36.0,101.0,79.0,0.0,0
1007010005,Alabama,Bibb County,Bibb County,0,4204,1562,0.0,1,0.02,1,14.2,71780.0,2631.0,1030,560,3609,282,12,3,10,288,194,52.0,266.0,197.0,0.0,0
1007010006,Alabama,Bibb County,Bibb County,0,1728,652,0.0,0,0.0,1,24.3,70179.0,837.0,436,236,1571,30,1,1,7,118,43,7.0,108.0,69.0,0.0,0
1007010007,Alabama,Bibb County,Bibb County,0,2376,971,0.0,0,0.0,1,7.3,66009.0,1478.0,517,454,2028,255,4,1,8,80,53,28.0,72.0,263.0,0.0,0
1007010008,Alabama,Bibb County,Bibb County,0,2770,1058,0.0,0,0.0,1,22.1,85452.0,1596.0,603,490,2165,408,2,0,16,179,108,124.0,233.0,186.0,0.0,0
1007010009,Alabama,Bibb County,Bibb County,0,2475,848,0.0,344,13.9,1,57.5,,782.0,580,322,1047,1246,0,0,2,180,137,122.0,445.0,143.0,0.0,1
1007010010,Alabama,Bibb County,Bibb County,0,2853,1128,0.0,274,9.6,1,26.4,57440.0,1290.0,594,739,1918,820,7,0,9,99,48,21.0,291.0,77.0,0.0,0
1007010011,Alabama,Bibb County,Bibb County,0,3253,686,0.0,1512,46.48,1,18.1,72857.0,1267.0,392,354,2008,1140,2,0,4,99,44,28.0,76.0,158.0,0.0,0
1009050103,Alabama,Blount County,Blount County,0,1749,632,0.0,0,0.0,0,15.4,83947.0,1144.0,422,312,1386,15,5,1,18,324,326,8.0,71.0,42.0,0.0,0
1009050104,Alabama,Blount County,Blount County,0,2036,780,0.0,24,1.18,0,6.0,79840.0,2267.0,435,450,1739,19,7,0,9,262,164,4.0,60.0,57.0,0.0,0
1009050105,Alabama,Blount County,Blount County,0,5525,2105,0.0,376,6.81,1,21.8,66989.0,3016.0,1265,1382,4323,236,47,7,39,873,814,141.0,319.0,200.0,0.0,0
1009050106,Alabama,Blount County,Blount County,0,3023,1107,0.0,120,3.97,1,21.4,60577.0,1601.0,695,462,2050,204,15,2,24,728,752,201.0,302.0,174.0,0.0,0
1009050107,Alabama,Blount County,Blount County,0,2975,1151,0.0,0,0.0,0,16.2,82333.0,1851.0,686,597,2534,9,2,1,9,420,390,31.0,95.0,117.0,0.0,0
1009050200,Alabama,Blount County,Blount County,0,3879,1450,0.0,28,0.72,0,12.4,74615.0,2938.0,943,675,3030,25,16,0,34,774,840,3.0,213.0,110.0,0.0,0
1009050301,Alabama,Blount County,Blount County,0,2880,1139,0.0,0,0.0,0,11.8,75302.0,2027.0,659,560,2467,8,4,2,19,380,396,26.0,161.0,144.0,0.0,0
1009050302,Alabama,Blount County,Blount County,0,2509,994,0.0,0,0.0,0,16.1,74375.0,1856.0,590,502,2097,18,1,0,25,368,389,30.0,128.0,65.0,0.0,0
1009050400,Alabama,Blount County,Blount County,0,4550,1790,0.0,0,0.0,0,9.9,74324.0,3088.0,1020,821,4053,12,6,4,23,452,288,108.0,112.0,380.0,0.0,0
1009050501,Alabama,Blount County,Blount County,0,4272,1578,0.0,0,0.0,1,11.7,58315.0,2564.0,1091,730,3476,19,25,0,26,726,658,92.0,136.0,215.0,0.0,0
1009050502,Alabama,Blount County,Blount County,0,3196,1196,0.0,17,0.53,1,10.2,70714.0,2142.0,752,539,2842,26,4,0,13,311,133,84.0,322.0,228.0,0.0,0
1009050601,Alabama,Blount County,Blount County,0,4166,1592,0.0,43,1.03,0,10.7,99714.0,2684.0,979,728,3878,39,7,0,25,217,55,9.0,104.0,142.0,0.0,0
1009050603,Alabama,Blount County,Blount County,0,4007,1417,0.0,0,0.0,0,10.9,90625.0,3186.0,1034,551,3779,16,0,2,10,200,60,11.0,29.0,301.0,0.0,0
1009050604,Alabama,Blount County,Blount County,0,5323,2026,0.0,1,0.02,0,7.0,93293.0,4350.0,1145,1059,4870,116,9,2,34,292,80,20.0,119.0,423.0,0.0,0
1009050701,Alabama,Blount County,Blount County,0,5834,2215,0.0,0,0.0,0,12.2,73750.0,3565.0,1295,1058,5239,56,14,1,19,505,268,124.0,311.0,128.0,0.0,0
1009050702,Alabama,Blount County,Blount County,0,3210,1195,0.0,4,0.12,1,19.6,62443.0,1537.0,720,588,2900,27,16,2,10,255,158,5.0,249.0,103.0,0.0,0
1011952100,Alabama,Bullock County,Bullock County,0,1272,588,0.0,0,0.0,1,23.2,48857.0,604.0,279,267,85,1159,1,0,3,24,11,30.0,221.0,52.0,0.0,0
1011952201,Alabama,Bullock County,Bullock County,0,2423,1045,0.0,23,0.95,1,42.1,44846.0,931.0,603,384,317,1814,1,1,55,235,258,195.0,407.0,173.0,0.0,0
1011952202,Alabama,Bullock County,Bullock County,0,4341,1193,0.0,1681,38.72,1,38.7,32411.0,387.0,701,626,893,3201,7,5,14,221,209,72.0,416.0,162.0,0.0,0
1011952500,Alabama,Bullock County,Bullock County,0,2321,1102,0.0,0,0.0,1,24.0,52454.0,1022.0,418,581,1025,1222,0,4,0,70,25,70.0,211.0,39.0,0.0,0
1013952700,Alabama,Butler County,Butler County,0,2515,1094,0.0,117,4.65,1,29.5,65795.0,1311.0,582,546,1097,1287,51,0,3,77,37,22.0,218.0,59.0,0.0,0
1013952800,Alabama,Butler County,Butler County,1,1411,586,0.0,0,0.0,0,15.6,85833.0,864.0,316,293,874,445,13,2,2,75,56,52.0,71.0,75.0,0.0,0
1013952900,Alabama,Butler County,Butler County,0,1959,815,0.0,28,1.43,1,28.4,74643.0,1015.0,415,406,826,1013,59,0,0,61,31,51.0,141.0,58.0,0.0,0
1013953000,Alabama,Butler County,Butler County,0,1230,500,0.0,0,0.0,1,6.9,62669.0,536.0,274,245,710,480,0,0,4,36,9,4.0,48.0,17.0,0.0,0
1013953100,Alabama,Butler County,Butler County,1,2526,1050,0.0,54,2.14,1,34.3,52642.0,1197.0,610,435,516,1894,0,0,0,116,35,95.0,267.0,118.0,0.0,0
1013953200,Alabama,Butler County,Butler County,0,3987,1715,0.0,0,0.0,1,20.4,57404.0,2277.0,856,878,2322,1509,15,2,14,125,46,125.0,167.0,323.0,0.0,0
1013953300,Alabama,Butler County,Butler County,0,1712,711,0.0,72,4.21,1,22.6,48750.0,833.0,309,458,1442,203,2,0,2,63,18,16.0,140.0,105.0,0.0,0
1013953400,Alabama,Butler County,Butler County,0,2392,1101,0.0,10,0.42,1,18.2,52333.0,1269.0,481,526,970,1345,0,0,4,73,24,62.0,201.0,98.0,0.0,0
1013953500,Alabama,Butler County,Butler County,0,1319,598,0.0,0,0.0,0,10.7,84938.0,923.0,305,305,995,254,3,1,0,66,4,24.0,59.0,72.0,0.0,0
1015000200,Alabama,Calhoun County,Calhoun County,1,2929,1262,0.0,0,0.0,1,32.6,68664.0,1478.0,632,452,1047,1603,31,0,10,238,176,116.0,245.0,152.0,0.0,0
1015000300,Alabama,Calhoun County,Calhoun County,1,2314,1065,0.0,47,2.03,1,20.6,35521.0,833.0,461,424,406,1760,1,3,11,133,55,217.0,393.0,132.0,0.0,0
1015000400,Alabama,Calhoun County,Calhoun County,1,2423,1054,0.0,16,0.66,1,19.4,40977.0,1349.0,501,555,818,1468,6,0,25,106,71,111.0,437.0,156.0,0.0,0
1015000500,Alabama,Calhoun County,Calhoun County,1,1097,516,0.0,0,0.0,1,42.2,30500.0,258.0,223,213,93,954,4,1,6,39,16,134.0,174.0,12.0,0.0,0
1015000600,Alabama,Calhoun County,Calhoun County,0,1780,574,0.0,438,24.61,1,47.1,21851.0,478.0,375,174,434,1264,4,0,7,71,29,194.0,224.0,128.0,0.0,0
1015000700,Alabama,Calhoun County,Calhoun County,1,2952,1306,0.0,97,3.29,1,25.7,53767.0,1348.0,769,525,1207,1464,39,3,3,236,140,348.0,415.0,134.0,0.0,0
1015000800,Alabama,Calhoun County,Calhoun County,1,1752,547,0.0,719,41.04,1,32.6,82917.0,381.0,173,297,953,655,4,0,10,130,96,130.0,102.0,70.0,0.0,0
1015000900,Alabama,Calhoun County,Calhoun County,1,3417,1538,0.0,168,4.92,0,4.0,98295.0,2657.0,526,1144,2439,643,32,0,12,291,241,68.0,293.0,412.0,0.0,0
1015001000,Alabama,Calhoun County,Calhoun County,1,5718,2636,0.0,0,0.0,0,9.8,81286.0,3415.0,1040,1381,3570,1455,187,16,29,461,337,47.0,436.0,619.0,0.0,0
1015001101,Alabama,Calhoun County,Calhoun County,0,1772,763,0.0,0,0.0,0,2.3,127708.0,1680.0,352,309,1332,208,50,1,0,181,150,0.0,13.0,198.0,0.0,0
1015001102,Alabama,Calhoun County,Calhoun County,1,1442,664,0.0,0,0.0,1,40.7,,574.0,391,181,710,502,30,0,6,194,148,35.0,160.0,48.0,0.0,1
1015001103,Alabama,Calhoun County,Calhoun County,1,3663,1440,0.0,13,0.35,0,18.0,92606.0,2535.0,890,691,2534,617,70,1,19,422,267,58.0,171.0,231.0,0.0,0
1015001201,Alabama,Calhoun County,Calhoun County,1,3361,1279,0.0,289,8.6,0,15.2,66563.0,1912.0,743,816,1962,1028,32,4,18,317,241,97.0,222.0,144.0,0.0,0
1015001202,Alabama,Calhoun County,Calhoun County,1,4304,1609,0.0,0,0.0,1,22.6,69545.0,2596.0,1103,734,3030,593,33,1,20,627,588,0.0,222.0,253.0,0.0,0
1015001300,Alabama,Calhoun County,Calhoun County,1,2006,817,0.0,0,0.0,1,22.9,74659.0,1058.0,412,329,1734,71,2,0,13,186,87,82.0,249.0,35.0,0.0,0
1015001400,Alabama,Calhoun County,Calhoun County,1,3160,1338,0.0,0,0.0,1,21.6,51603.0,1435.0,621,621,2361,576,6,0,10,207,88,39.0,230.0,71.0,0.0,0
1015001501,Alabama,Calhoun County,Calhoun County,0,3421,1355,0.0,0,0.0,0,17.6,73807.0,1870.0,776,588,2730,372,10,2,20,287,245,10.0,228.0,112.0,0.0,0
1015001502,Alabama,Calhoun County,Calhoun County,1,1724,700,0.0,0,0.0,0,8.7,98056.0,1084.0,361,313,1418,175,5,0,9,117,76,0.0,39.0,123.0,0.0,0
1015001600,Alabama,Calhoun County,Calhoun County,1,3513,1418,0.0,0,0.0,1,26.2,49216.0,1425.0,784,538,2439,642,16,4,17,395,190,82.0,191.0,139.0,0.0,0
1015001700,Alabama,Calhoun County,Calhoun County,1,6023,2476,0.0,12,0.2,1,16.2,64408.0,3534.0,1241,1224,3842,1633,68,7,16,457,223,196.0,542.0,431.0,0.0,0
1015001801,Alabama,Calhoun County,Calhoun County,0,2440,986,0.0,2,0.08,1,29.5,37222.0,925.0,549,421,1992,231,23,0,23,171,101,66.0,205.0,177.0,0.0,0
1015001802,Alabama,Calhoun County,Calhoun County,1,4371,1717,0.0,0,0.0,0,11.6,67225.0,3456.0,1047,770,3365,579,44,19,27,337,166,14.0,273.0,324.0,0.0,0
1015002001,Alabama,Calhoun County,Calhoun County,0,2739,1071,0.0,0,0.0,0,12.0,93365.0,2047.0,642,474,2375,126,9,4,16,209,136,42.0,26.0,114.0,0.0,0
1015002002,Alabama,Calhoun County,Calhoun County,0,4763,1800,0.0,0,0.0,0,7.1,89728.0,3587.0,1176,779,4108,275,40,1,19,320,167,15.0,90.0,383.0,0.0,0
1015002101,Alabama,Calhoun County,Calhoun County,1,5300,1070,0.0,3345,63.11,1,51.4,53321.0,534.0,207,172,1647,3195,238,2,10,208,151,109.0,233.0,74.0,0.0,0
1015002102,Alabama,Calhoun County,Calhoun County,1,3243,1338,0.0,6,0.19,0,13.2,74890.0,2687.0,672,647,2568,375,32,10,10,248,114,40.0,6.0,288.0,0.0,0
1015002104,Alabama,Calhoun County,Calhoun County,1,3914,1520,0.0,238,6.08,0,13.7,68750.0,2618.0,803,726,2636,875,52,7,7,337,134,146.0,292.0,279.0,0.0,0
1015002105,Alabama,Calhoun County,Calhoun County,1,2887,1322,0.0,5,0.17,1,20.9,56366.0,1717.0,643,414,1843,770,24,5,6,239,107,156.0,528.0,222.0,0.0,0
1015002200,Alabama,Calhoun County,Calhoun County,0,3625,1479,0.0,109,3.01,1,20.7,72661.0,2246.0,734,876,3285,172,17,2,19,130,70,27.0,219.0,191.0,0.0,0
1015002300,Alabama,Calhoun County,Calhoun County,0,3717,1558,0.0,0,0.0,1,15.5,62788.0,2208.0,850,704,3021,405,5,4,13,269,112,75.0,235.0,75.0,0.0,0
1015002400,Alabama,Calhoun County,Calhoun County,0,4402,1771,0.0,0,0.0,0,16.9,71818.0,2502.0,926,850,4093,89,11,4,27,178,52,80.0,144.0,273.0,0.0,0
1015002502,Alabama,Calhoun County,Calhoun County,0,4553,1814,0.0,71,1.56,0,12.6,72973.0,2429.0,982,912,4233,99,17,0,10,194,41,96.0,275.0,269.0,0.0,0
1015002503,Alabama,Calhoun County,Calhoun County,0,3861,1521,0.0,45,1.17,0,14.4,95735.0,2672.0,841,710,3242,399,23,3,14,180,67,10.0,82.0,232.0,0.0,0
1015002504,Alabama,Calhoun County,Calhoun County,0,3181,1219,0.0,0,0.0,0,13.0,81667.0,2110.0,729,572,2833,157,17,10,14,150,55,22.0,349.0,85.0,0.0,0
1015002600,Alabama,Calhoun County,Calhoun County,0,4664,1886,0.0,0,0.0,0,13.0,74515.0,2983.0,973,891,4282,129,8,5,11,229,71,13.0,114.0,327.0,0.0,0
1015981901,Alabama,Calhoun County,Calhoun County,0,8,6,0.0,0,0.0,0,,,0.0,4,0,3,0,0,0,0,5,2,0.0,0.0,0.0,0.0,2
1015981902,Alabama,Calhoun County,Calhoun County,0,2,2,0.0,0,0.0,0,,,0.0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2
1015981903,Alabama,Calhoun County,Calhoun County,0,0,0,,0,,0,,,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4
1017953800,Alabama,Chambers County,Chambers County,0,3156,1430,0.0,0,0.0,1,24.3,60536.0,2154.0,455,884,2295,736,10,0,10,105,43,73.0,255.0,263.0,0.0,0
