Field,LongName,Description,Missing_Value_Count
SD_SRAM_LATracts10,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access tract at 10 miles","Flag for low access tract when considering 10 mile distance, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_LATracts20,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access tract at 20 miles","Flag for low access tract when considering 20 mile distance, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_LATractsVehicle_20,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access tract using vehicle access and at 20 miles  in rural areas","Flag for tract where >= 100 of households do not have a vehicle, and beyond 1/2 mile from SNAP-authorized foodstore; or >= 500 individuals are beyond 20 miles from SNAP-authorized foodstore ; or >= 33% of individuals are beyond 20 miles from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_LAPOP1_10,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, population at 1 mile for urban areas and 10 miles for rural areas, number","Population count beyond 1 mile for urban areas or 10 miles for rural areas from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_LAPOP05_10,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, population at 1/2 mile for urban areas and 10 miles for rural areas, number","Population count beyond 1/2 mile for urban areas or 10 miles for rural areas from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_LAPOP1_20,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, population at 1 mile for urban areas and 20 miles for rural areas, number","Population count beyond 1 mile for urban areas or 20 miles for rural areas from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_LALOWI1_10,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, low-income population at 1 mile for urban areas and 10 miles for rural areas, number","Low income population count beyond 1 mile for urban areas or 10 miles for rural areas from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_LALOWI05_10,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, low-income population at 1/2 mile for urban areas and 10 miles for rural areas, number","Low income population count beyond 1/2 mile for urban areas or 10 miles for rural areas from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_LALOWI1_20,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, low-income population at 1 mile for urban areas and 20 miles for rural areas, number","Low income population count beyond 1 mile for urban areas or 20 miles for rural areas from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lapophalf,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, population at 1/2 mile, number","Population count beyond 1/2 mile from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lapophalfshare,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, population at 1/2 mile, share","Share of tract population that are beyond 1/2 mile from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lalowihalf,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, low-income population at 1/2 mile, number","Low income population count beyond 1/2 mile from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lalowihalfshare,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, low-income population at 1/2 mile, share","Share of tract population that are low income individuals beyond 1/2 mile from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lakidshalf,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, children age 0-17 at 1/2 mile, number","Kids population count beyond 1/2 mile from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lakidshalfshare,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, children age 0-17 at 1/2 mile, share","Share of tract population that are kids beyond 1/2 mile from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_laseniorshalf,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, seniors age 65+ at 1/2 mile, number","Seniors population count beyond 1/2 mile from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_laseniorshalfshare,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, seniors age 65+ at 1/2 mile, share","Share of tract population that are seniors beyond 1/2 mile from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lawhitehalf,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, White population at 1/2 mile, number","White population count beyond 1/2 mile from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lawhitehalfshare,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, White population at 1/2 mile, share","Share of tract population that are white beyond 1/2 mile from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lablackhalf,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, Black or African American population at 1/2 mile, number","Black or African American population count beyond 1/2 mile from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lablackhalfshare,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, Black or African American population at 1/2 mile, share","Share of tract population that are Black or African American beyond 1/2 mile from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_laasianhalf,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, Asian population at 1/2 mile, number","Asian population count beyond 1/2 mile from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_laasianhalfshare,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, Asian population at 1/2 mile, share","Share of tract population that are Asian beyond 1/2 mile from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lanhopihalf,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, Native Hawaiian or Other Pacific Islander population at 1/2 mile, number","Native Hawaiian or Other Pacific Islander population count beyond 1/2 mile from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lanhopihalfshare,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, Native Hawaiian or Other Pacific Islander population at 1/2 mile, share","Share of tract population that are Native Hawaiian or Other Pacific Islander beyond 1/2 mile from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_laaianhalf,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, American Indian or Alaska Native population at 1/2 mile, number","American Indian or Alaska Native population count beyond 1/2 mile from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_laaianhalfshare,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, American Indian or Alaska Native population at 1/2 mile, share","Share of tract population that are American Indian or Alaska Native beyond 1/2 mile from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_laomultirhalf,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, Other/Multiple race population at 1/2 mile, number","Other/Multiple race population count beyond 1/2 mile from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_laomultirhalfshare,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, Other/Multiple race population at 1/2 mile, share","Share of tract population that are Other/Multiple race beyond 1/2 mile from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lahisphalf,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, Hispanic or Latino population at 1/2 mile, number","Hispanic or Latino ethnicity population count beyond 1/2 mile from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lahisphalfshare,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, Hispanic or Latino population at 1/2 mile, share","Share of tract population that are of Hispanic or Latino ethnicity beyond 1/2 mile from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lahunvhalf,"Straight-line Distance, SNAP-authorized Retailer Access Map, Vehicle access, housing units without and low access at 1/2 mile, number","Housing units without vehicle count beyond 1/2 mile from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lahunvhalfshare,"Straight-line Distance, SNAP-authorized Retailer Access Map, Vehicle access, housing units without and low access at 1/2 mile, share","Share of tract housing units that are without vehicle and beyond 1/2 mile from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lasnaphalf,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, housing units receiving SNAP benefits at 1/2 mile, number","Housing units receiving SNAP benefits count beyond 1/2 mile from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lasnaphalfshare,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, housing units receiving SNAP benefits at 1/2 mile, share","Share of tract housing units receiving SNAP benefits count beyond 1/2 mile from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_laveteranhalf,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, veterans of the U.S. Armed Forces at 1/2 mile, number","Veterans of the U.S. Armed Forces count beyond 1/2 mile from SNAP-authorized foodstore,calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_laveteranhalfshare,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, veterans of the U.S. Armed Forces at 1/2 mile, share","Share of tract veterans of the U.S. Armed Forces count beyond 1/2 mile from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lapop1,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, population at 1 mile, number","Population count beyond 1 mile from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lapop1share,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, population at 1 mile, share","Share of tract population that are beyond 1 mile from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lalowi1,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, low-income population at 1 mile, number","Low income population count beyond 1 mile from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lalowi1share,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, low-income population at 1 mile, share","Share of tract population that are low income individuals beyond 1 mile from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lakids1,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, children age 0-17 at 1 mile, number","Kids population count beyond 1 mile from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lakids1share,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, children age 0-17 at 1 mile, share","Share of tract population that are kids beyond 1 mile from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_laseniors1,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, seniors age 65+ at 1 mile, number","Seniors population count beyond 1 mile from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_laseniors1share,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, seniors age 65+ at 1 mile, share","Share of tract population that are seniors beyond 1 mile from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lawhite1,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, White population at 1 mile, number","White population count beyond 1 mile from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lawhite1share,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, White population at 1 mile, share","Share of tract population that are white beyond 1 mile from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lablack1,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, Black or African American population at 1 mile, number","Black or African American population count beyond 1 mile from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lablack1share,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, Black or African American population at 1 mile, share","Share of tract population that are Black or African American beyond 1 mile from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_laasian1,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, Asian population at 1 mile, number","Asian population count beyond 1 mile from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_laasian1share,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, Asian population at 1 mile, share","Share of tract population that are Asian beyond 1 mile from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lanhopi1,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, Native Hawaiian and Other Pacific Islander population at 1 mile, number","Native Hawaiian or Other Pacific Islander population count beyond 1 mile from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lanhopi1share,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, Native Hawaiian and Other Pacific Islander population at 1 mile, share","Share of tract population that are Native Hawaiian or Other Pacific Islander beyond 1 mile from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_laaian1,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, American Indian and Alaska Native population at 1 mile, number","American Indian or Alaska Native population count beyond 1 mile from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_laaian1share,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, American Indian and Alaska Native population at 1 mile, share","Share of tract population that are American Indian or Alaska Native beyond 1 mile from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_laomultir1,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, Other/Multiple race population at 1 mile, number","Other/Multiple race population count beyond 1 mile from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_laomultir1share,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, Other/Multiple race population at 1 mile, share","Share of tract population that are Other/Multiple race beyond 1 mile from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lahisp1,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, Hispanic or Latino population at 1 mile, number","Hispanic or Latino ethnicity population count beyond 1 mile from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lahisp1share,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, Hispanic or Latino population at 1 mile, share","Share of tract population that are of Hispanic or Latino ethnicity beyond 1 mile from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lahunv1,"Straight-line Distance, SNAP-authorized Retailer Access Map, Vehicle access, housing units without and low access at 1 mile, number","Housing units without vehicle count beyond 1 mile from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lahunv1share,"Straight-line Distance, SNAP-authorized Retailer Access Map, Vehicle access, housing units without and low access at 1 mile, share","Share of tract housing units that are without vehicle and beyond 1 mile from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lasnap1,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, housing units receiving SNAP benefits at 1 mile, number","Housing units receiving SNAP benefits count beyond 1 mile from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lasnap1share,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, housing units receiving SNAP benefits at 1 mile, share","Share of tract housing units receiving SNAP benefits count beyond 1 mile from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_laveteran1,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, veterans of the U.S. Armed Forces at 1 mile, number","Veterans of the U.S. Armed Forces count beyond 1 mile from SNAP-authorized foodstore,calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_laveteran1share,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, veterans of the U.S. Armed Forces at 1 mile, share","Share of tract veterans of the U.S. Armed Forces count beyond 1 mile from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lapop10,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, population at 10 miles, number","Population count beyond 10 miles from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lapop10share,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, population at 10 miles, share","Share of tract population that are beyond 10 miles from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lalowi10,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, low-income population at 10 miles, number","Low income population count beyond 10 miles from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lalowi10share,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, low-income population at 10 miles, share","Share of tract population that are low income individuals beyond 10 miles from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lakids10,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, children age 0-17 at 10 miles, number","Kids population count beyond 10 miles from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lakids10share,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, children age 0-17 at 10 miles, share","Share of tract population that are kids beyond 10 miles from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_laseniors10,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, seniors age 65+ at 10 miles, number","Seniors population count beyond 10 miles from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_laseniors10share,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, seniors age 65+ at 10 miles, share","Share of tract population that are seniors beyond 10 miles from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lawhite10,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, White population at 10 miles, number","White population count beyond 10 miles from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lawhite10share,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, White population at 10 miles, share","Share of tract population that are white beyond 10 miles from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lablack10,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, Black or African American population at 10 miles, number","Black or African American population count beyond 10 miles from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lablack10share,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, Black or African American population at 10 miles, share","Share of tract population that are Black or African American beyond 10 miles from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_laasian10,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, Asian population at 10 miles, number","Asian population count beyond 10 miles from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_laasian10share,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, Asian population at 10 miles, share","Share of tract population that are Asian beyond 10 miles from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lanhopi10,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, Native Hawaiian and Other Pacific Islander population at 10 miles, number","Native Hawaiian or Other Pacific Islander population count beyond 10 miles from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lanhopi10share,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, Native Hawaiian and Other Pacific Islander population at 10 miles, share","Share of tract population that are Native Hawaiian or Other Pacific Islander beyond 10 miles from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_laaian10,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, American Indian and Alaska Native population at 10 miles, number","American Indian or Alaska Native population count beyond 10 miles from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_laaian10share,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, American Indian and Alaska Native population at 10 miles, share","Share of tract population that are American Indian or Alaska Native beyond 10 miles from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_laomultir10,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, Other/Multiple race population at 10 miles, number","Other/Multiple race population count beyond 10 miles from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_laomultir10share,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, Other/Multiple race population at 10 miles, share","Share of tract population that are Other/Multiple race beyond 10 miles from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lahisp10,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, Hispanic or Latino population at 10 miles, number","Hispanic or Latino ethnicity population count beyond 10 miles from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lahisp10share,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, Hispanic or Latino population at 10 miles, share","Share of tract population that are of Hispanic or Latino ethnicity beyond 10 miles from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lahunv10,"Straight-line Distance, SNAP-authorized Retailer Access Map, Vehicle access, housing units without and low access at 10 miles, number","Housing units without vehicle count beyond 10 miles from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lahunv10share,"Straight-line Distance, SNAP-authorized Retailer Access Map, Vehicle access, housing units without and low access at 10 miles, share","Share of tract housing units that are without vehicle and beyond 10 miles from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lasnap10,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, housing units receiving SNAP benefits at 10 miles, number","Housing units receiving SNAP benefits count beyond 10 miles from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lasnap10share,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access,housing units receiving SNAP benefits at 10 miles, share","Share of tract housing units receiving SNAP benefits count beyond 10 miles from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_laveteran10,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, veterans of the U.S. Armed Forces at 10 miles, number","Veterans of the U.S. Armed Forces count beyond 10 miles from SNAP-authorized foodstore,calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_laveteran10share,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, veterans of the U.S. Armed Forces at 10 miles, share","Share of tract veterans of the U.S. Armed Forces count beyond 10 miles from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lapop20,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, population at 20 miles, number","Population count beyond 20 miles from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lapop20share,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, population at 20 miles, share","Share of tract population that are beyond 20 miles from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lalowi20,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, low-income population at 20 miles, number","Low income population count beyond 20 miles from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lalowi20share,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, low-income population at 20 miles, share","Share of tract population that are low income individuals beyond 20 miles from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lakids20,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, children age 0-17 at 20 miles, number","Kids population count beyond 20 miles from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lakids20share,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, children age 0-17 at 20 miles, share","Share of tract population that are kids beyond 20 miles from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_laseniors20,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, seniors age 65+ at 20 miles, number","Seniors population count beyond 20 miles from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_laseniors20share,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, seniors age 65+ at 20 miles, share","Share of tract population that are seniors beyond 20 miles from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lawhite20,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, White population at 20 miles, number","White population count beyond 20 miles from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lawhite20share,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, White population at 20 miles, share","Share of tract population that are white beyond 20 miles from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
SD_SRAM_lablack20,"Straight-line Distance, SNAP-authorized Retailer Access Map, Low access, Black or African American population at 20 miles, number","Black or African American population count beyond 20 miles from SNAP-authorized foodstore, calculated using straight-line (Euclidean-based) distance",0
