CensusTract20,State,County20,Urban,POP2020,OHU2020,LowIncomeTracts,PovertyRate,TractHUNV,TractSNAP,tract_geoid,DD_SRAM_LILATracts_1And10,DD_SRAM_HUNVFlag,DD_SRAM_LAPOP1_10,DD_SRAM_lapop1share,DD_SRAM_lahunv1,DD_SRAM_lasnap1,SD_SRAM_LILATracts_1And10,SD_SRAM_HUNVFlag,SD_SRAM_LAPOP1_10,SD_SRAM_lapop1share,SD_SRAM_lahunv1,SD_SRAM_lasnap1,state_fips,county_fips,tract_code
1003010903,Alabama,Baldwin County,0,6599,2196,1,13.6,65,457,01003010903,0,0,0,72.13,47,330,0,0,0,57.02,37,261,01,01003,010903
1003010904,Alabama,Baldwin County,0,7747,2979,0,5.5,22,274,01003010904,0,0,10,82.92,18,227,0,0,0,65.81,14,180,01,01003,010904
1003010906,Alabama,Baldwin County,1,4754,1739,1,14.0,44,554,01003010906,1,0,2396,50.4,22,279,1,0,1476,31.05,14,172,01,01003,010906
1003010907,Alabama,Baldwin County,0,4081,1531,0,7.3,21,64,01003010907,0,0,0,66.53,14,43,0,0,0,56.7,12,36,01,01003,010907
1003010908,Alabama,Baldwin County,0,5979,2264,0,9.7,77,106,01003010908,0,0,0,31.21,24,33,0,0,0,17.36,13,18,01,01003,010908
1003011000,Alabama,Baldwin County,1,5459,2102,1,16.7,12,395,01003011000,1,0,4372,80.09,10,316,1,0,3580,65.58,8,259,01,01003,011000
1003011102,Alabama,Baldwin County,0,5684,2051,0,4.7,8,129,01003011102,0,0,0,64.23,5,83,0,0,0,45.0,4,58,01,01003,011102
1003011103,Alabama,Baldwin County,1,3523,1364,0,8.6,48,31,01003011103,0,0,1929,54.75,26,17,0,0,772,21.91,11,7,01,01003,011103
1003011104,Alabama,Baldwin County,1,7875,3261,0,10.0,77,113,01003011104,0,0,3342,42.44,33,48,0,0,1911,24.27,19,27,01,01003,011104
1003011201,Alabama,Baldwin County,1,4895,2158,0,5.7,32,112,01003011201,0,0,1328,27.13,9,30,0,0,350,7.15,2,8,01,01003,011201
1003011202,Alabama,Baldwin County,1,6773,2898,0,8.2,104,94,01003011202,0,0,2385,35.21,37,33,0,0,1778,26.25,27,25,01,01003,011202
1003011300,Alabama,Baldwin County,0,5170,2101,0,18.6,38,14,01003011300,0,0,9,98.49,37,14,0,0,0,88.63,34,12,01,01003,011300
1003011409,Alabama,Baldwin County,0,5915,2276,0,16.3,34,221,01003011409,0,0,0,93.24,32,206,0,0,0,73.17,25,162,01,01003,011409
1003011410,Alabama,Baldwin County,0,7483,3109,0,16.7,44,124,01003011410,0,0,40,57.28,25,71,0,0,0,40.08,18,50,01,01003,011410
1003011411,Alabama,Baldwin County,0,5666,2459,1,15.6,83,71,01003011411,0,0,0,73.95,61,52,0,0,0,49.44,41,35,01,01003,011411
1003011412,Alabama,Baldwin County,0,4041,1819,0,16.7,15,119,01003011412,0,0,0,60.31,9,72,0,0,0,49.62,7,59,01,01003,011412
1003011413,Alabama,Baldwin County,1,3982,1795,0,3.4,48,16,01003011413,0,0,1946,48.87,23,8,0,0,1106,27.77,13,4,01,01003,011413
1003011414,Alabama,Baldwin County,1,3461,1574,0,2.2,72,20,01003011414,0,0,2876,83.1,60,17,0,0,2489,71.92,52,14,01,01003,011414
1003011415,Alabama,Baldwin County,1,2019,961,0,2.0,0,12,01003011415,0,0,1844,91.33,0,11,0,0,1552,76.87,0,9,01,01003,011415
1003011416,Alabama,Baldwin County,0,1714,823,0,11.1,61,16,01003011416,0,0,2,76.14,46,12,0,0,0,59.68,36,10,01,01003,011416
1003011417,Alabama,Baldwin County,1,2525,1101,0,3.4,20,35,01003011417,0,0,582,23.05,5,8,0,0,0,0.0,0,0,01,01003,011417
1003011418,Alabama,Baldwin County,0,1773,873,0,8.1,56,14,01003011418,0,0,0,22.11,12,3,0,0,0,12.24,7,2,01,01003,011418
1003011419,Alabama,Baldwin County,1,5154,2432,0,12.5,61,162,01003011419,0,0,3722,72.22,44,117,0,0,2708,52.54,32,85,01,01003,011419
1003011501,Alabama,Baldwin County,1,7216,2945,0,16.0,144,278,01003011501,0,1,3255,45.11,65,125,0,0,1825,25.29,36,70,01,01003,011501
1003011503,Alabama,Baldwin County,1,7482,3218,0,9.7,145,165,01003011503,0,0,2420,32.34,47,53,0,0,553,7.39,11,12,01,01003,011503
1003011504,Alabama,Baldwin County,0,6431,2713,0,6.1,219,164,01003011504,0,1,0,60.52,133,99,0,1,0,30.38,67,50,01,01003,011504
1003011601,Alabama,Baldwin County,0,7517,3012,0,14.4,126,333,01003011601,0,1,7,76.96,97,256,0,1,0,55.47,70,185,01,01003,011601
1003011603,Alabama,Baldwin County,1,3298,1504,1,3.5,58,44,01003011603,1,0,2293,69.53,40,31,1,0,1591,48.24,28,21,01,01003,011603
1003011604,Alabama,Baldwin County,0,2853,1390,0,10.1,4,40,01003011604,0,0,11,99.96,4,40,0,0,0,99.96,4,40,01,01003,011604
1005950100,Alabama,Barbour County,0,3126,1328,0,12.9,59,239,01005950100,0,0,530,79.53,47,190,0,0,312,57.97,34,139,01,01005,950100
1005950200,Alabama,Barbour County,0,3363,969,1,25.9,151,188,01005950200,0,1,109,77.19,117,145,0,1,12,73.45,111,138,01,01005,950200
1005950300,Alabama,Barbour County,0,1370,621,0,11.9,48,108,01005950300,0,0,56,85.55,41,92,0,0,4,78.76,38,85,01,01005,950300
1005950400,Alabama,Barbour County,0,3998,1127,1,28.6,110,199,01005950400,0,1,285,96.6,106,192,0,1,1,94.65,104,188,01,01005,950400
1005950500,Alabama,Barbour County,0,3105,1366,1,21.4,27,228,01005950500,0,0,42,88.99,24,203,0,0,0,73.17,20,167,01,01005,950500
1005950600,Alabama,Barbour County,0,1858,792,1,28.0,108,179,01005950600,0,0,25,53.98,58,97,0,0,0,37.67,41,67,01,01005,950600
1005950700,Alabama,Barbour County,0,1590,616,1,23.8,75,184,01005950700,0,0,46,23.96,18,44,0,0,25,19.56,15,36,01,01005,950700
1005950800,Alabama,Barbour County,1,2175,953,1,21.6,73,94,01005950800,1,0,633,29.1,21,27,0,0,243,11.17,8,11,01,01005,950800
1005950900,Alabama,Barbour County,1,4638,1905,1,20.6,307,524,01005950900,1,1,1057,22.79,70,119,0,0,292,6.3,19,33,01,01005,950900
1007010001,Alabama,Bibb County,0,2634,1022,0,17.1,36,101,01007010001,0,0,40,93.17,34,94,0,0,0,87.78,32,89,01,01007,010001
1007010005,Alabama,Bibb County,0,4204,1562,1,14.2,52,266,01007010005,0,0,0,56.3,29,150,0,0,0,43.77,23,116,01,01007,010005
1007010006,Alabama,Bibb County,0,1728,652,1,24.3,7,108,01007010006,0,0,24,95.31,7,103,0,0,0,90.1,6,97,01,01007,010006
1007010007,Alabama,Bibb County,0,2376,971,1,7.3,28,72,01007010007,0,0,73,89.56,25,64,0,0,0,81.4,23,59,01,01007,010007
1007010008,Alabama,Bibb County,0,2770,1058,1,22.1,124,233,01007010008,0,1,156,96.03,119,224,0,1,0,90.97,113,212,01,01007,010008
1007010009,Alabama,Bibb County,0,2475,848,1,57.5,122,445,01007010009,0,1,11,64.81,79,288,0,0,0,58.3,71,260,01,01007,010009
1007010010,Alabama,Bibb County,0,2853,1128,1,26.4,21,291,01007010010,0,0,0,38.38,8,112,0,0,0,19.03,4,55,01,01007,010010
1007010011,Alabama,Bibb County,0,3253,686,1,18.1,28,76,01007010011,0,0,263,100.0,28,76,0,0,19,100.0,28,76,01,01007,010011
1009050103,Alabama,Blount County,0,1749,632,0,15.4,8,71,01009050103,0,0,46,90.22,7,64,0,0,0,86.05,7,61,01,01009,050103
1009050104,Alabama,Blount County,0,2036,780,0,6.0,4,60,01009050104,0,0,0,75.44,3,45,0,0,0,67.49,3,40,01,01009,050104
1009050105,Alabama,Blount County,0,5525,2105,1,21.8,141,319,01009050105,0,0,4,54.3,77,173,0,0,0,38.97,55,124,01,01009,050105
1009050106,Alabama,Blount County,0,3023,1107,1,21.4,201,302,01009050106,0,1,0,48.13,97,145,0,1,0,22.99,46,69,01,01009,050106
1009050107,Alabama,Blount County,0,2975,1151,0,16.2,31,95,01009050107,0,0,16,99.09,31,94,0,0,0,96.37,30,92,01,01009,050107
1009050200,Alabama,Blount County,0,3879,1450,0,12.4,3,213,01009050200,0,0,0,81.67,2,174,0,0,0,63.99,2,136,01,01009,050200
1009050301,Alabama,Blount County,0,2880,1139,0,11.8,26,161,01009050301,0,0,0,82.74,22,133,0,0,0,72.47,19,117,01,01009,050301
1009050302,Alabama,Blount County,0,2509,994,0,16.1,30,128,01009050302,0,0,0,91.95,28,118,0,0,0,82.14,25,105,01,01009,050302
1009050400,Alabama,Blount County,0,4550,1790,0,9.9,108,112,01009050400,0,1,0,98.7,107,111,0,1,0,92.46,100,104,01,01009,050400
1009050501,Alabama,Blount County,0,4272,1578,1,11.7,92,136,01009050501,0,0,0,78.72,72,107,0,0,0,69.12,64,94,01,01009,050501
1009050502,Alabama,Blount County,0,3196,1196,1,10.2,84,322,01009050502,0,0,69,99.91,84,322,0,0,0,98.19,82,316,01,01009,050502
1009050601,Alabama,Blount County,0,4166,1592,0,10.7,9,104,01009050601,0,0,17,96.18,9,100,0,0,0,85.33,8,89,01,01009,050601
1009050603,Alabama,Blount County,0,4007,1417,0,10.9,11,29,01009050603,0,0,0,86.87,10,25,0,0,0,67.78,7,20,01,01009,050603
1009050604,Alabama,Blount County,0,5323,2026,0,7.0,20,119,01009050604,0,0,0,91.06,18,108,0,0,0,77.53,16,92,01,01009,050604
1009050701,Alabama,Blount County,0,5834,2215,0,12.2,124,311,01009050701,0,1,26,88.4,110,275,0,1,0,63.42,79,197,01,01009,050701
1009050702,Alabama,Blount County,0,3210,1195,1,19.6,5,249,01009050702,0,0,0,88.6,4,221,0,0,0,68.91,3,172,01,01009,050702
1011952100,Alabama,Bullock County,0,1272,588,1,23.2,30,221,01011952100,0,0,32,75.71,23,167,0,0,0,72.56,22,160,01,01011,952100
1011952201,Alabama,Bullock County,0,2423,1045,1,42.1,195,407,01011952201,0,1,36,52.95,103,216,0,1,0,46.93,91,191,01,01011,952201
1011952202,Alabama,Bullock County,0,4341,1193,1,38.7,72,416,01011952202,0,0,6,72.84,52,303,0,0,0,65.47,47,272,01,01011,952202
1011952500,Alabama,Bullock County,0,2321,1102,1,24.0,70,211,01011952500,1,0,638,97.89,69,207,0,0,243,94.66,66,200,01,01011,952500
1013952700,Alabama,Butler County,0,2515,1094,1,29.5,22,218,01013952700,0,0,0,59.09,13,129,0,0,0,43.66,10,95,01,01013,952700
1013952800,Alabama,Butler County,1,1411,586,0,15.6,52,71,01013952800,0,0,53,3.76,2,3,0,0,0,0.0,0,0,01,01013,952800
1013952900,Alabama,Butler County,0,1959,815,1,28.4,51,141,01013952900,0,0,0,55.18,28,78,0,0,0,30.37,15,43,01,01013,952900
1013953000,Alabama,Butler County,0,1230,500,1,6.9,4,48,01013953000,0,0,31,97.4,4,47,0,0,0,95.37,4,46,01,01013,953000
1013953100,Alabama,Butler County,1,2526,1050,1,34.3,95,267,01013953100,1,0,726,28.74,27,77,1,0,619,24.51,23,65,01,01013,953100
1013953200,Alabama,Butler County,0,3987,1715,1,20.4,125,167,01013953200,0,1,180,84.8,106,142,0,1,83,79.41,99,133,01,01013,953200
1013953300,Alabama,Butler County,0,1712,711,1,22.6,16,140,01013953300,0,0,8,100.0,16,140,0,0,0,100.0,16,140,01,01013,953300
1013953400,Alabama,Butler County,0,2392,1101,1,18.2,62,201,01013953400,0,0,107,68.31,42,137,0,0,0,57.82,36,116,01,01013,953400
1013953500,Alabama,Butler County,0,1319,598,0,10.7,24,59,01013953500,0,0,94,80.21,19,47,0,0,79,73.77,18,44,01,01013,953500
1015000200,Alabama,Calhoun County,1,2929,1262,1,32.6,116,245,01015000200,1,0,608,20.76,24,51,0,0,132,4.51,5,11,01,01015,000200
1015000300,Alabama,Calhoun County,1,2314,1065,1,20.6,217,393,01015000300,0,0,68,2.94,6,12,0,0,0,0.0,0,0,01,01015,000300
1015000400,Alabama,Calhoun County,1,2423,1054,1,19.4,111,437,01015000400,1,0,890,36.73,41,161,0,0,87,3.59,4,16,01,01015,000400
1015000500,Alabama,Calhoun County,1,1097,516,1,42.2,134,174,01015000500,0,0,4,0.36,1,1,0,0,0,0.0,0,0,01,01015,000500
1015000600,Alabama,Calhoun County,0,1780,574,1,47.1,194,224,01015000600,0,1,0,25.56,50,57,0,0,0,0.0,0,0,01,01015,000600
1015000700,Alabama,Calhoun County,1,2952,1306,1,25.7,348,415,01015000700,1,1,693,23.48,82,97,0,0,211,7.15,25,30,01,01015,000700
1015000800,Alabama,Calhoun County,1,1752,547,1,32.6,130,102,01015000800,0,0,0,0.0,0,0,0,0,0,0.0,0,0,01,01015,000800
1015000900,Alabama,Calhoun County,1,3417,1538,0,4.0,68,293,01015000900,0,0,1697,49.66,34,146,0,0,657,19.23,13,56,01,01015,000900
1015001000,Alabama,Calhoun County,1,5718,2636,0,9.8,47,436,01015001000,0,0,2181,38.14,18,166,0,0,1050,18.36,9,80,01,01015,001000
1015001101,Alabama,Calhoun County,0,1772,763,0,2.3,0,13,01015001101,0,0,11,78.78,0,10,0,0,0,65.46,0,9,01,01015,001101
1015001102,Alabama,Calhoun County,1,1442,664,1,40.7,35,160,01015001102,1,0,609,42.23,15,68,0,0,0,0.0,0,0,01,01015,001102
1015001103,Alabama,Calhoun County,1,3663,1440,0,18.0,58,171,01015001103,0,0,1279,34.92,20,60,0,0,146,3.99,2,7,01,01015,001103
1015001201,Alabama,Calhoun County,1,3361,1279,0,15.2,97,222,01015001201,0,0,851,25.32,25,56,0,0,101,3.01,3,7,01,01015,001201
1015001202,Alabama,Calhoun County,1,4304,1609,1,22.6,0,222,01015001202,1,0,2398,55.72,0,124,1,0,1128,26.21,0,58,01,01015,001202
1015001300,Alabama,Calhoun County,1,2006,817,1,22.9,82,249,01015001300,1,0,750,37.39,31,93,0,0,360,17.95,15,45,01,01015,001300
1015001400,Alabama,Calhoun County,1,3160,1338,1,21.6,39,230,01015001400,1,0,1958,61.96,24,142,1,0,1186,37.53,15,86,01,01015,001400
1015001501,Alabama,Calhoun County,0,3421,1355,0,17.6,10,228,01015001501,0,0,0,59.08,6,135,0,0,0,33.5,3,76,01,01015,001501
1015001502,Alabama,Calhoun County,1,1724,700,0,8.7,0,39,01015001502,0,0,1553,90.08,0,35,0,0,1085,62.94,0,25,01,01015,001502
1015001600,Alabama,Calhoun County,1,3513,1418,1,26.2,82,191,01015001600,1,0,1047,29.8,24,57,0,0,176,5.01,4,10,01,01015,001600
1015001700,Alabama,Calhoun County,1,6023,2476,1,16.2,196,542,01015001700,1,1,1830,30.38,60,165,0,1,326,5.41,11,29,01,01015,001700
1015001801,Alabama,Calhoun County,0,2440,986,1,29.5,66,205,01015001801,0,0,0,55.0,36,113,0,0,0,31.64,21,65,01,01015,001801
1015001802,Alabama,Calhoun County,1,4371,1717,0,11.6,14,273,01015001802,0,0,1308,29.92,4,82,0,0,310,7.09,1,19,01,01015,001802
1015002001,Alabama,Calhoun County,0,2739,1071,0,12.0,42,26,01015002001,0,0,9,100.0,42,26,0,0,0,99.89,42,26,01,01015,002001
1015002002,Alabama,Calhoun County,0,4763,1800,0,7.1,15,90,01015002002,0,0,5,84.02,13,76,0,0,0,58.85,9,53,01,01015,002002
1015002101,Alabama,Calhoun County,1,5300,1070,1,51.4,109,233,01015002101,0,0,429,8.09,9,19,0,0,250,4.72,5,11,01,01015,002101
1015002102,Alabama,Calhoun County,1,3243,1338,0,13.2,40,6,01015002102,0,0,1662,51.25,20,3,0,0,1044,32.19,13,2,01,01015,002102
1015002104,Alabama,Calhoun County,1,3914,1520,0,13.7,146,292,01015002104,0,1,1381,35.28,51,103,0,0,421,10.76,16,31,01,01015,002104
1015002105,Alabama,Calhoun County,1,2887,1322,1,20.9,156,528,01015002105,1,1,996,34.5,54,182,0,0,365,12.64,20,67,01,01015,002105
1015002200,Alabama,Calhoun County,0,3625,1479,1,20.7,27,219,01015002200,0,0,31,54.76,15,120,0,0,0,48.72,13,107,01,01015,002200
1015002300,Alabama,Calhoun County,0,3717,1558,1,15.5,75,235,01015002300,0,0,0,49.83,37,117,0,0,0,33.9,25,80,01,01015,002300
1015002400,Alabama,Calhoun County,0,4402,1771,0,16.9,80,144,01015002400,0,0,36,87.89,70,127,0,0,0,69.17,55,100,01,01015,002400
1015002502,Alabama,Calhoun County,0,4553,1814,0,12.6,96,275,01015002502,0,0,0,97.23,93,267,0,0,0,91.26,88,251,01,01015,002502
1015002503,Alabama,Calhoun County,0,3861,1521,0,14.4,10,82,01015002503,0,0,0,83.71,8,69,0,0,0,59.21,6,49,01,01015,002503
1015002504,Alabama,Calhoun County,0,3181,1219,0,13.0,22,349,01015002504,0,0,0,72.43,16,253,0,0,0,52.97,12,185,01,01015,002504
1015002600,Alabama,Calhoun County,0,4664,1886,0,13.0,13,114,01015002600,0,0,4,95.09,12,108,0,0,0,84.07,11,96,01,01015,002600
1015981901,Alabama,Calhoun County,0,8,6,0,,0,0,01015981901,0,0,0,62.5,0,0,0,0,0,25.0,0,0,01,01015,981901
1015981902,Alabama,Calhoun County,0,2,2,0,,0,0,01015981902,0,0,0,100.0,0,0,0,0,0,100.0,0,0,01,01015,981902
1015981903,Alabama,Calhoun County,0,0,0,0,,0,0,01015981903,0,0,0,,0,0,0,0,0,,0,0,01,01015,981903
1017953800,Alabama,Chambers County,0,3156,1430,1,24.3,73,255,01017953800,0,0,109,96.1,70,245,0,0,0,92.4,67,236,01,01017,953800
1017953900,Alabama,Chambers County,0,3292,1237,1,25.4,98,200,01017953900,0,0,8,42.16,41,84,0,0,0,36.42,36,73,01,01017,953900
1017954001,Alabama,Chambers County,0,2230,956,0,4.5,63,100,01017954001,0,0,43,97.8,62,98,0,0,9,90.85,57,91,01,01017,954001
1017954002,Alabama,Chambers County,0,3908,1590,1,23.9,379,454,01017954002,0,1,0,47.39,180,215,0,1,0,36.69,139,167,01,01017,954002
1017954200,Alabama,Chambers County,0,3309,1327,0,8.3,42,101,01017954200,0,0,0,74.37,31,75,0,0,0,62.71,26,63,01,01017,954200
1017954300,Alabama,Chambers County,0,5637,2396,0,13.2,91,294,01017954300,0,0,1,44.35,40,130,0,0,0,36.12,33,106,01,01017,954300
1017954600,Alabama,Chambers County,1,3844,1533,1,9.1,90,144,01017954600,1,0,862,22.42,20,32,0,0,208,5.41,5,8,01,01017,954600
1017954700,Alabama,Chambers County,1,4489,1771,1,21.3,105,308,01017954700,1,0,2351,52.37,55,161,1,0,1857,41.37,43,127,01,01017,954700
1017954800,Alabama,Chambers County,1,4907,1998,1,10.5,42,328,01017954800,1,0,668,13.61,6,45,0,0,173,3.53,1,12,01,01017,954800
1019955701,Alabama,Cherokee County,0,3365,1439,1,22.8,103,247,01019955701,0,0,34,71.65,74,177,0,0,0,43.3,45,107,01,01019,955701
1019955702,Alabama,Cherokee County,0,3702,1537,0,10.7,61,95,01019955702,0,0,29,95.03,58,90,0,0,0,89.63,55,85,01,01019,955702
1019955801,Alabama,Cherokee County,0,2084,886,0,13.4,10,80,01019955801,0,0,17,96.26,10,77,0,0,0,92.85,9,74,01,01019,955801
1019955802,Alabama,Cherokee County,0,3087,1261,0,13.5,16,105,01019955802,0,0,0,89.73,14,94,0,0,0,73.66,12,77,01,01019,955802
1019955900,Alabama,Cherokee County,0,4171,1648,0,15.4,0,186,01019955900,0,0,210,82.16,0,153,0,0,0,73.39,0,137,01,01019,955900
1019956000,Alabama,Cherokee County,0,4053,1743,1,11.1,51,158,01019956000,0,0,1,67.75,35,107,0,0,0,53.89,27,85,01,01019,956000
1019956101,Alabama,Cherokee County,0,1931,816,1,15.2,0,60,01019956101,0,0,38,99.33,0,60,0,0,0,99.12,0,59,01,01019,956101
1019956102,Alabama,Cherokee County,0,2578,1081,1,17.7,42,190,01019956102,0,0,5,92.16,39,175,0,0,0,79.13,33,150,01,01019,956102
1021060101,Alabama,Chilton County,1,5136,1994,0,17.6,26,573,01021060101,0,0,2291,44.61,12,256,0,0,831,16.18,4,93,01,01021,060101
1021060103,Alabama,Chilton County,1,3310,1258,0,8.4,4,102,01021060103,0,0,2588,78.19,3,80,0,0,1575,47.58,2,49,01,01021,060103
1021060104,Alabama,Chilton County,1,3348,1366,1,21.8,95,249,01021060104,1,0,1668,49.82,47,124,0,0,491,14.67,14,37,01,01021,060104
1021060200,Alabama,Chilton County,0,2751,1148,0,9.3,24,71,01021060200,0,0,1,84.88,20,60,0,0,0,58.52,14,42,01,01021,060200
1021060300,Alabama,Chilton County,0,3910,1561,0,11.5,39,181,01021060300,0,0,77,91.43,36,165,0,0,0,81.74,32,148,01,01021,060300
1021060401,Alabama,Chilton County,0,5749,2126,0,7.7,23,117,01021060401,0,0,0,74.66,17,87,0,0,0,58.9,14,69,01,01021,060401
1021060403,Alabama,Chilton County,0,3818,1329,1,14.2,43,101,01021060403,0,0,0,78.71,34,79,0,0,0,56.5,24,57,01,01021,060403
1021060404,Alabama,Chilton County,0,5517,2047,0,14.9,0,387,01021060404,0,0,0,86.59,0,335,0,0,0,67.39,0,261,01,01021,060404
1021060500,Alabama,Chilton County,0,2995,1204,1,19.8,36,278,01021060500,0,0,5,87.15,31,242,0,0,0,78.16,28,217,01,01021,060500
1021060600,Alabama,Chilton County,0,3294,1252,0,12.5,11,184,01021060600,0,0,33,100.0,11,184,0,0,0,100.0,11,184,01,01021,060600
1021060701,Alabama,Chilton County,0,2552,943,0,17.5,95,209,01021060701,0,0,0,93.06,88,194,0,0,0,78.57,75,164,01,01021,060701
1021060702,Alabama,Chilton County,0,2634,1074,1,16.8,75,161,01021060702,0,0,3,85.54,64,138,0,0,0,64.62,48,104,01,01021,060702
1023956700,Alabama,Choctaw County,0,2783,1330,1,22.0,147,175,01023956700,0,1,207,87.35,128,153,0,1,0,78.05,115,137,01,01023,956700
1023956800,Alabama,Choctaw County,0,4175,1914,0,16.0,152,290,01023956800,0,1,366,81.63,124,237,0,1,27,68.14,104,198,01,01023,956800
1023956900,Alabama,Choctaw County,0,3628,1529,1,16.9,100,192,01023956900,1,0,518,93.58,94,180,0,0,24,89.64,90,172,01,01023,956900
1023957000,Alabama,Choctaw County,0,2079,902,0,12.2,61,166,01023957000,0,0,45,90.91,55,151,0,0,0,83.45,51,139,01,01023,957000
1025957500,Alabama,Clarke County,0,1531,661,0,13.4,28,50,01025957500,0,0,23,90.4,25,45,0,0,0,78.84,22,39,01,01025,957500
