member_id,STATE_NORM,COUNTY_NORM,ZIP_NORM,county_fips,county_status,sdoh_feature_cells_missing,sdoh_features_missing_count,county_features_available
34b8aa06-9904-df2f-e571-c6c5e767f24b,MASSACHUSETTS,WORCESTER,,,unresolved,77,77,False
885c1eeb-1b4c-8a3a-bfc7-a68897e470a6,MASSACHUSETTS,FRANKLIN,,,unresolved,76,76,False
ba234ff2-cefe-dfee-935a-8ea2378da8c2,MASSACHUSETTS,MIDDLESEX,,25017,resolved,29,29,True
09c92ce0-6ff1-7234-956d-33795ad6648c,MASSACHUSETTS,BRISTOL,,,unresolved,77,77,False
d0a482ef-d151-72a4-8bb5-bf7045e71a07,MASSACHUSETTS,MIDDLESEX,,25017,resolved,30,30,True
ad41b3b5-b5a1-f136-af92-bc03052fba86,MASSACHUSETTS,HAMPSHIRE,,25015,resolved,29,29,True
5d84e6a3-b4bd-63d6-57c5-cada0916490d,MASSACHUSETTS,DUKES,,,unresolved,76,76,False
373e1deb-b6b2-b528-372e-4d43362376b0,MASSACHUSETTS,MIDDLESEX,,,unresolved,77,77,False
bad853b3-250e-3dc8-19b0-6ebe36b636dc,MASSACHUSETTS,NORFOLK,,25021,resolved,29,29,True
0133267a-6406-a01b-8d4a-f60993b1e3ca,MASSACHUSETTS,SUFFOLK,,25025,resolved,29,29,True
d3bcf7cc-11ff-2e5c-2eb4-bd90a1aac20b,MASSACHUSETTS,ESSEX,,25009,resolved,29,29,True
1d9a4ec2-5e53-d852-ef66-d4de1671f6d8,MASSACHUSETTS,MIDDLESEX,,25017,resolved,30,30,True
08d6836a-cefb-bc53-c8c2-cb0ee6c5e53d,MASSACHUSETTS,BRISTOL,,44007,resolved,30,30,True
c1b2ab2b-da66-32d5-1257-63d0f155fd8b,MASSACHUSETTS,SUFFOLK,,25025,resolved,29,29,True
b672cf7a-e1b1-2e21-72e8-b29fca4b4e33,MASSACHUSETTS,HAMPDEN,,,unresolved,77,77,False
d9264059-a17f-517e-bc65-eb3df11c2e10,MASSACHUSETTS,NORFOLK,,25021,resolved,30,30,True
21060120-8398-1940-3dc7-1d7f56bb2674,MASSACHUSETTS,HAMPDEN,,25013,resolved,30,30,True
bb185e06-2cea-6f9c-cb59-9c05ffad11ef,MASSACHUSETTS,WORCESTER,,,unresolved,77,77,False
73b97ede-ebda-6de2-36c8-c7c6cc9ad9ff,MASSACHUSETTS,FRANKLIN,,25011,resolved,29,29,True
13472219-c176-990a-641f-14cf9d4d8480,MASSACHUSETTS,MIDDLESEX,,25017,resolved,30,30,True
1060044a-f072-f905-e067-c67d12ad8e6b,MASSACHUSETTS,NORFOLK,,25021,resolved,30,30,True
958988d0-ad72-fe02-722e-f81e0e2cbf47,MASSACHUSETTS,ESSEX,,25009,resolved,29,29,True
e1e77618-ef71-5312-7627-14f6834da851,MASSACHUSETTS,WORCESTER,,25027,resolved,30,30,True
a03e9688-2e96-60c9-74cf-f3a3718f729b,MASSACHUSETTS,WORCESTER,,25027,resolved,30,30,True
b896abfb-034d-9dde-59df-7ee47f216174,MASSACHUSETTS,SUFFOLK,,25025,resolved,30,30,True
aa1a2074-ad05-6d4f-0063-6188c4f25a12,MASSACHUSETTS,MIDDLESEX,,25017,resolved,29,29,True
062ce52a-5823-aeb4-e0d1-d514baf42a38,MASSACHUSETTS,MIDDLESEX,,25017,resolved,30,30,True
33d283d8-d724-4c5d-9eb2-aab318712e12,MASSACHUSETTS,BRISTOL,,,unresolved,76,76,False
679339b2-5ff9-00c8-be7f-0b32aa9b9692,MASSACHUSETTS,SUFFOLK,,25025,resolved,30,30,True
1e56d360-30c5-5a41-8dd8-e3f74deed263,MASSACHUSETTS,HAMPDEN,,,unresolved,76,76,False
457a9cf0-6fc6-2761-f409-0e136aae0a8b,MASSACHUSETTS,MIDDLESEX,,25017,resolved,29,29,True
2140a954-e520-58d5-ba4b-e7af4c944f48,MASSACHUSETTS,MIDDLESEX,,25017,resolved,29,29,True
94c51553-037d-8e18-9b98-441bd96a892e,MASSACHUSETTS,SUFFOLK,,25025,resolved,30,30,True
93fee2ab-5392-ffb0-a25b-19a8ec191461,MASSACHUSETTS,SUFFOLK,,25025,resolved,29,29,True
9c755040-1ded-1ea3-49e3-9118b2fef47a,MASSACHUSETTS,WORCESTER,,25027,resolved,29,29,True
6c3ee07c-34a7-15d2-ec2f-a8f6e7d6323f,MASSACHUSETTS,ESSEX,,25009,resolved,30,30,True
5e8e2a97-b1ee-6e96-aced-5822c781b792,MASSACHUSETTS,WORCESTER,,25027,resolved,30,30,True
46aba201-21d9-c8e8-989c-e62cb2faddf4,MASSACHUSETTS,MIDDLESEX,,25017,resolved,30,30,True
9c5726f3-5d8e-5f0a-e60e-c326f4a9fcf3,MASSACHUSETTS,HAMPSHIRE,,25015,resolved,31,31,True
a0873afa-1674-1ef3-ac16-c39738e22bba,MASSACHUSETTS,MIDDLESEX,,,unresolved,77,77,False
bf097b58-4dad-b71a-c180-ed2c3cfda59c,MASSACHUSETTS,ESSEX,,25009,resolved,30,30,True
38389261-1bb1-5848-dbed-abbae41b2b6a,MASSACHUSETTS,PLYMOUTH,,25023,resolved,30,30,True
1e7909f8-39b2-3c7e-1fda-a6c3256dc061,MASSACHUSETTS,ESSEX,,25009,resolved,29,29,True
3ab40d52-44be-ae07-2177-2875cc65f5a8,MASSACHUSETTS,HAMPSHIRE,,25015,resolved,29,29,True
2f343369-4f65-e13e-d15b-0bc343fe7d38,MASSACHUSETTS,MIDDLESEX,,,unresolved,77,77,False
2eb14889-46f2-06de-4f6e-fea5634e0d85,MASSACHUSETTS,MIDDLESEX,,25017,resolved,29,29,True
26be634c-60c8-bec3-3c2a-92aa53cbecf5,MASSACHUSETTS,BARNSTABLE,,25001,resolved,30,30,True
9a57c612-581f-1c85-d505-c6c44e983d32,MASSACHUSETTS,PLYMOUTH,,,unresolved,76,76,False
0fb515d6-ec2d-33f3-512e-7615b6e3091d,MASSACHUSETTS,WORCESTER,,,unresolved,76,76,False
7c50e28d-07cc-a4cf-eb58-b2a15bc552a3,MASSACHUSETTS,MIDDLESEX,,25017,resolved,29,29,True
03a7cc66-36c5-356c-419f-93bfbd7b558d,MASSACHUSETTS,WORCESTER,,25027,resolved,29,29,True
20447ad5-5095-fb78-2bd9-69bf39242b4a,MASSACHUSETTS,MIDDLESEX,,25017,resolved,29,29,True
fe0bfc8f-4cb4-7f87-4b4d-7997cbe26516,MASSACHUSETTS,ESSEX,,25009,resolved,29,29,True
4d5bd8b4-8ee1-c357-dd1d-6bca1c275f56,MASSACHUSETTS,MIDDLESEX,,25017,resolved,29,29,True
4856d816-b2ac-e1b6-5ace-4eafd4a8e86e,MASSACHUSETTS,SUFFOLK,,25025,resolved,30,30,True
a37f52ec-31c4-a8da-19ba-debcbe745096,MASSACHUSETTS,WORCESTER,,25027,resolved,29,29,True
f238b3d3-c8f3-ef73-da73-8ddd4fd38bcb,MASSACHUSETTS,PLYMOUTH,,25023,resolved,29,29,True
7c6f0701-02e7-6c85-1f82-c0f615d02bb4,MASSACHUSETTS,SUFFOLK,,25025,resolved,29,29,True
4c756282-9faf-4e7b-1689-3e3a3cb39537,MASSACHUSETTS,BERKSHIRE,,25003,resolved,30,30,True
7dd90132-76f1-9559-8d81-e732c8633880,MASSACHUSETTS,PLYMOUTH,,25023,resolved,31,31,True
9277390b-8a92-52e1-4d99-bb4849bac775,MASSACHUSETTS,MIDDLESEX,,25017,resolved,29,29,True
dc82a5e2-139d-ff3d-d86f-a692d820ca99,MASSACHUSETTS,HAMPDEN,,25013,resolved,30,30,True
6361e20a-35bf-68e3-def5-f001870db7c4,MASSACHUSETTS,MIDDLESEX,,25017,resolved,29,29,True
dbf17e44-1f14-fd36-e663-a7e2afb52481,MASSACHUSETTS,NORFOLK,,,unresolved,77,77,False
f540af27-06ff-0981-5685-24c08ab33443,MASSACHUSETTS,DUKES,,,unresolved,76,76,False
01a006ce-6457-50c2-8e0a-fb58fc310a86,MASSACHUSETTS,HAMPDEN,,25013,resolved,29,29,True
d2d8d467-56b3-0911-9f00-1526676919f4,MASSACHUSETTS,WORCESTER,,25027,resolved,29,29,True
de55dd93-44f9-4bcd-fa9f-ad6e7c0da01b,MASSACHUSETTS,WORCESTER,,25027,resolved,30,30,True
0582e289-d8d6-738b-bf47-3da4f26f6f34,MASSACHUSETTS,MIDDLESEX,,25017,resolved,29,29,True
53e4891a-9108-67ef-d973-3b6a98404249,MASSACHUSETTS,MIDDLESEX,,25017,resolved,29,29,True
d48773c1-dd70-5329-70b4-a10d6ba21508,MASSACHUSETTS,HAMPDEN,,25013,resolved,29,29,True
311e00b9-274f-b3c6-cdcb-ac56c17c2d29,MASSACHUSETTS,WORCESTER,,25027,resolved,30,30,True
e27ebe5d-6514-4fb0-f1d6-d3baf7bf0ed6,MASSACHUSETTS,WORCESTER,,,unresolved,76,76,False
ab07c698-12cf-16d5-d125-354f3b85b899,MASSACHUSETTS,NORFOLK,,25021,resolved,29,29,True
227610af-b3d1-a8e6-29c9-25f43c7bd8d7,MASSACHUSETTS,MIDDLESEX,,25017,resolved,29,29,True
bf5bb016-bc49-d450-534a-417e91f7f9aa,MASSACHUSETTS,ESSEX,,25009,resolved,29,29,True
a393b12a-75b9-22ff-2a46-d564c2dff4f4,MASSACHUSETTS,NORFOLK,,25021,resolved,29,29,True
5b24c87b-6223-f5b4-51e9-82051159bd1d,MASSACHUSETTS,WORCESTER,,,unresolved,77,77,False
c1e9a9fb-45ec-4ee4-c946-4ffc5dfa93ea,MASSACHUSETTS,WORCESTER,,25027,resolved,29,29,True
e63ee044-44a6-784d-28a0-0d049d2449a5,MASSACHUSETTS,WORCESTER,,25027,resolved,29,29,True
